Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],,
"Population, total",SP.POP.TOTL,Antigua and Barbuda,ATG,88028,89253,90409,91516,92562,93566,94527,95426,96286,97118,,
"Population, total",SP.POP.TOTL,Argentina,ARG,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,,
"Population, total",SP.POP.TOTL,Aruba,ABW,101669,102046,102560,103159,103774,104341,104872,105366,105845,106314,,
"Population, total",SP.POP.TOTL,"Bahamas, The",BHS,354942,359577,363584,367168,370633,374206,377931,381761,385640,389482,, 
"Population, total",SP.POP.TOTL,Barbados,BRB,282131,282987,283700,284296,284825,285324,285796,286233,286641,287025,,
"Population, total",SP.POP.TOTL,Belize,BLZ,322464,330237,338000,345715,353366,360933,368400,375769,383071,390353,,
"Population, total",SP.POP.TOTL,Bolivia,BOL,10048590,10212954,10377676,10542376,10706517,10869730,11031813,11192854,11353142,11513100,,
"Population, total",SP.POP.TOTL,Brazil,BRA,195713635,197514534,199287296,201035903,202763735,204471769,206163058,207833831,209469333,211049527,,
"Population, total",SP.POP.TOTL,British Virgin Islands,VGB,27794,28319,28650,28847,28989,29152,29355,29577,29802,30030,,
"Population, total",SP.POP.TOTL,Cayman Islands,CYM,56672,57878,58958,59932,60848,61724,62569,63382,64174,64948,,
"Population, total",SP.POP.TOTL,Chile,CHL,17062536,17233576,17400347,17571507,17758959,17969353,18209068,18470439,18729160,18952038,,
"Population, total",SP.POP.TOTL,Colombia,COL,45222700,45663099,46076848,46497267,46969209,47520667,48171392,48901066,49648685,50339443,,
"Population, total",SP.POP.TOTL,Costa Rica,CRI,4577378,4633086,4688000,4742107,4795396,4847804,4899345,4949954,4999441,5047561,,
"Population, total",SP.POP.TOTL,Cuba,CUB,11225832,11236670,11257101,11282720,11306902,11324781,11335109,11339259,11338138,11333483,,
"Population, total",SP.POP.TOTL,Curacao,CUW,148703,150831,152088,153822,155909,157980,159664,160175,159800,157538,,
"Population, total",SP.POP.TOTL,Dominica,DMA,70878,70916,70965,71016,71085,71183,71307,71458,71625,71808,,
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,9695121,9813210,9930911,10048224,10165178,10281680,10397743,10513131,10627165,10738958,,
"Population, total",SP.POP.TOTL,Ecuador,ECU,15011117,15243883,15474102,15707474,15951838,16212020,16491115,16785361,17084357,17373662,,
"Population, total",SP.POP.TOTL,El Salvador,SLV,6183875,6210568,6237923,6266070,6295128,6325124,6356143,6388122,6420744,6453553,,
"Population, total",SP.POP.TOTL,Grenada,GRD,106233,106796,107446,108170,108902,109599,110261,110874,111454,112003,,
"Population, total",SP.POP.TOTL,Guatemala,GTM,14259687,14521515,14781942,15043981,15306316,15567419,15827690,16087418,16346950,16604026,,
"Population, total",SP.POP.TOTL,Guyana,GUY,749436,752028,755399,759285,763380,767432,771366,775221,779004,782766,,
"Population, total",SP.POP.TOTL,Haiti,HTI,9949322,10100320,10250930,10400673,10549008,10695542,10839970,10982366,11123176,11263077,,
"Population, total",SP.POP.TOTL,Honduras,HND,8317470,8480671,8640691,8798521,8955589,9112916,9270795,9429013,9587522,9746117,,
"Population, total",SP.POP.TOTL,Jamaica,JAM,2810460,2825929,2842132,2858709,2875136,2891021,2906238,2920853,2934855,2948279,,
"Population, total",SP.POP.TOTL,Mexico,MEX,114092963,115695473,117274155,118827161,120355128,121858258,123333376,124777324,126190788,127575529,,
"Population, total",SP.POP.TOTL,Nicaragua,NIC,5824065,5903039,5982526,6062454,6142733,6223240,6303974,6384855,6465513,6545502,,
"Population, total",SP.POP.TOTL,Panama,PAN,3642687,3706483,3770624,3835437,3901315,3968487,4037078,4106771,4176873,4246439,,
"Population, total",SP.POP.TOTL,Paraguay,PRY,6248020,6333976,6421512,6510276,6599526,6688746,6777872,6867062,6956071,7044636,,
"Population, total",SP.POP.TOTL,Peru,PER,29027674,29264318,29506788,29773987,30090359,30470734,30926032,31444297,31989256,32510453,,
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3721525,3678732,3634488,3593077,3534874,3473232,3406672,3325286,3193354,3193694,,
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,34056,33435,34640,36607,37685,38825,39969,40574,40654,40733,,
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,49016,49447,49887,50331,50774,51203,51625,52045,52441,52823,,
"Population, total",SP.POP.TOTL,St. Lucia,LCA,174085,175544,176646,177513,178296,179126,180024,180955,181889,182790,,
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,37582,37446,37009,36453,36015,35858,36065,36560,37264,38002,,
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,108255,108316,108435,108622,108861,109148,109459,109827,110210,110589,,
"Population, total",SP.POP.TOTL,Suriname,SUR,529131,535179,541245,547291,553273,559143,564888,570496,575991,581372,,
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1328147,1336178,1344817,1353700,1362342,1370328,1377564,1384072,1389858,1394973,,
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,32660,33377,34066,34731,35369,35981,36559,37115,37665,38191,,
"Population, total",SP.POP.TOTL,Uruguay,URY,3359275,3368934,3378974,3389439,3400434,3412009,3424132,3436646,3449299,3461734,,
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,28439940,28888369,29362449,29783571,30045134,30081829,29846179,29390409,28870195,28515829,,
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,108358,108292,108191,108044,107884,107710,107510,107268,106977,106631,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 07/01/2020,,,,,,,,,,,,,,,